id,title,price,availability,star_rating,category
8a55eb11-d3df-4b76-9ff7-db845d002de3,It's Only the Himalayas,45.17,19 ,2,Travel
2da0f5d4-6adb-4a01-b1df-5092c3841eac,Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,49.43,15 ,4,Travel
788c703b-30f6-4c22-b7cd-5e0f8c7900fe,See America: A Celebration of Our National Parks & Treasured Sites,48.87,14 ,3,Travel
16d12714-e586-450b-a73c-f06a2c2ed64d,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,8 ,2,Travel
bed9f05c-d5e1-4ed5-96a8-b61e97c9c364,Under the Tuscan Sun,37.33,7 ,3,Travel
d3e4c604-ce98-428f-aa69-8f40f8321434,A Summer In Europe,44.34,7 ,2,Travel
8ce9233a-326b-4e32-ac03-d600700e0ee2,The Great Railway Bazaar,30.54,6 ,1,Travel
cfba003e-c702-48fe-a762-94e89bcabdd9,A Year in Provence (Provence #1),56.88,6 ,4,Travel
91836d56-eaa9-4d4e-bbdf-595a0b63657f,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,3 ,1,Travel
36a44555-25ea-411e-9726-fae118977860,Neither Here nor There: Travels in Europe,38.95,3 ,3,Travel
b4f2c5f5-2575-4e13-90a8-4cace44f6983,"1,000 Places to See Before You Die",26.08,1 ,5,Travel
66172f78-9e3f-4268-bced-2cf888565163,Sharp Objects,47.82,20 ,4,Mystery
c440c0f5-a3e1-43e0-b83f-a5a2ce43179f,"In a Dark, Dark Wood",19.63,18 ,1,Mystery
a9ef9f07-0e5d-4368-88b8-c09f615d2728,The Past Never Ends,56.50,16 ,4,Mystery
894a1657-c69e-4889-8cd1-6e2ca11622da,A Murder in Time,16.64,16 ,1,Mystery
555b9d3f-1013-49ed-be33-6aafc65794fd,The Murder of Roger Ackroyd (Hercule Poirot #4),44.10,15 ,4,Mystery
ed858553-f20d-4977-9e93-90b4b6ec7e97,The Last Mile (Amos Decker #2),54.21,14 ,2,Mystery
457a3ff3-46b2-4452-a154-f8024e715094,That Darkness (Gardiner and Renner #1),13.92,14 ,1,Mystery
136831dd-1d69-4161-a8b8-112625483cca,Tastes Like Fear (DI Marnie Rome #3),10.69,14 ,1,Mystery
3b4d1515-048a-4dea-83e9-8be2bb2c7fae,A Time of Torment (Charlie Parker #14),48.35,14 ,5,Mystery
16cfd353-6faa-40dc-899c-744640405208,A Study in Scarlet (Sherlock Holmes #1),16.73,14 ,2,Mystery
e935f378-90d2-4623-af11-98ffdfbedcfd,Poisonous (Max Revere Novels #3),26.80,12 ,3,Mystery
7123abbc-cad6-43d7-87a4-7f264a379b31,Murder at the 42nd Street Library (Raymond Ambler #1),54.36,12 ,4,Mystery
297c844d-59ca-48c6-9b97-0670fcff179d,Most Wanted,35.28,12 ,3,Mystery
0d822071-00e1-41e1-8dc5-64749b50390a,Hide Away (Eve Duncan #20),11.84,12 ,1,Mystery
9dcdaef3-15a9-423a-a7d6-26e245b02ad8,Boar Island (Anna Pigeon #19),59.48,12 ,3,Mystery
975bebb8-5853-48d5-9ab6-eaba851969ca,The Widow,27.26,11 ,2,Mystery
422d7746-eed2-44ed-8d96-bd336b518df1,Playing with Fire,13.71,11 ,3,Mystery
441c1dda-be6b-4584-99db-d2337fcfe7c8,What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,7 ,5,Mystery
98e4402c-d246-4074-a087-3fa0ab7d6fae,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.30,7 ,5,Mystery
6b045a46-8a64-405a-84e1-e9faf8ab1581,Delivering the Truth (Quaker Midwife Mystery #1),20.89,7 ,4,Mystery
434317fd-2333-454c-a19a-5707807e3ca5,The Mysterious Affair at Styles (Hercule Poirot #1),24.80,6 ,4,Mystery
5c66f188-b5b1-47ad-865d-b3ff098290e9,In the Woods (Dublin Murder Squad #1),38.38,6 ,2,Mystery
7bb0a4c3-133a-40d8-8e44-46871400fab2,The Silkworm (Cormoran Strike #2),23.05,3 ,5,Mystery
35ec7a4c-2cc4-4d58-a21c-35d186071bdb,The Exiled,43.45,3 ,3,Mystery
ff0791d5-9d74-4f9b-9a02-c9dc4c9fd5fe,The Cuckoo's Calling (Cormoran Strike #1),19.21,3 ,1,Mystery
b44f06ce-bbf3-48f8-a42b-386e1152ca77,Extreme Prey (Lucas Davenport #26),25.40,3 ,3,Mystery
63c5352f-f7c2-4c1b-a638-f90f9ab07bf1,Career of Evil (Cormoran Strike #3),24.72,3 ,2,Mystery
a6821c04-d72e-4da8-a8b8-89d367228ceb,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.70,1 ,4,Mystery
